Datetime,Day,Image filename,Location,Purpose
2/4/2019 15:59,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (27).jpg,Founders Memorial Library,study
2/4/2019 16:04,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (28).jpg,Founders Memorial Library,study
2/4/2019 16:09,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (29).jpg,Founders Memorial Library,study
2/4/2019 16:13,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (30).jpg,Founders Memorial Library,study
2/4/2019 16:17,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (31).jpg,Founders Memorial Library,study
2/4/2019 16:24,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (32).jpg,Founders Memorial Library,study
2/4/2019 16:28,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (33).jpg,Founders Memorial Library,study
2/4/2019 16:32,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (34).jpg,Founders Memorial Library,study
2/4/2019 16:37,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (35).jpg,Founders Memorial Library,study
2/4/2019 16:42,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (36).jpg,Founders Memorial Library,study
2/4/2019 16:47,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (37).jpg,Founders Memorial Library,study
2/4/2019 16:50,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (38).jpg,Founders Memorial Library,study
2/4/2019 16:52,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (39).jpg,outside,travel - walking
2/4/2019 16:57,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (40).jpg,CSCI Building,Attending CSCI 627
2/4/2019 16:59,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (41).jpg,CSCI Building,Attending CSCI 627
2/4/2019 17:02,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (42).jpg,CSCI Building,Attending CSCI 627
2/4/2019 17:05,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (43).jpg,CSCI Building,Attending CSCI 627
2/4/2019 17:08,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (44).jpg,CSCI Building,Attending CSCI 627
2/4/2019 17:13,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (45).jpg,CSCI Building,Attending CSCI 627
2/4/2019 17:16,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (46).jpg,CSCI Building,Attending CSCI 627
2/4/2019 17:20,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (47).jpg,CSCI Building,Attending CSCI 627
2/4/2019 17:25,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (48).jpg,CSCI Building,Attending CSCI 627
2/4/2019 17:28,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (49).jpg,CSCI Building,Attending CSCI 627
2/4/2019 17:35,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (50).jpg,CSCI Building,Attending CSCI 627
2/4/2019 17:38,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (51).jpg,CSCI Building,Attending CSCI 627
2/4/2019 17:40,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (52).jpg,CSCI Building,Attending CSCI 627
2/4/2019 17:43,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (53).jpg,CSCI Building,Attending CSCI 627
2/4/2019 17:47,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (54).jpg,CSCI Building,Attending CSCI 627
2/4/2019 17:50,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (55).jpg,CSCI Building,Attending CSCI 627
2/4/2019 17:54,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (56).jpg,CSCI Building,Attending CSCI 627
2/4/2019 17:58,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (57).jpg,CSCI Building,Attending CSCI 627
2/4/2019 18:01,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (58).jpg,CSCI Building,Attending CSCI 627
2/4/2019 18:04,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (59).jpg,CSCI Building,Attending CSCI 627
2/4/2019 18:06,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (60).jpg,CSCI Building,Attending CSCI 627
2/4/2019 18:09,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (61).jpg,CSCI Building,Attending CSCI 627
2/4/2019 18:11,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (62).jpg,CSCI Building,Attending CSCI 627
2/4/2019 18:14,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (63).jpg,CSCI Building,Attending CSCI 627
2/4/2019 18:17,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (64).jpg,CSCI Building,Attending CSCI 627
2/4/2019 18:21,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (65).jpg,CSCI Building,Attending CSCI 627
2/4/2019 18:25,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (66).jpg,CSCI Building,Attending CSCI 627
2/4/2019 18:27,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (67).jpg,CSCI Building,Attending CSCI 627
2/4/2019 18:30,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (68).jpg,CSCI Building,Attending CSCI 627
2/4/2019 18:34,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (69).jpg,CSCI Building,Attending CSCI 627
2/4/2019 18:37,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (70).jpg,CSCI Building,Attending CSCI 627
2/4/2019 18:40,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (71).jpg,CSCI Building,Attending CSCI 627
2/4/2019 18:43,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (72).jpg,outside,travel - walking
2/4/2019 18:47,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (73).jpg,Faraday Hall,Office Hours - CSCI 340
2/4/2019 18:49,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (74).jpg,Faraday Hall,Office Hours - CSCI 340
2/4/2019 19:00,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (75).jpg,Faraday Hall,Office Hours - CSCI 340
2/4/2019 19:07,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (76).jpg,Faraday Hall,Office Hours - CSCI 340
2/4/2019 19:13,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (77).jpg,Faraday Hall,Office Hours - CSCI 340
2/4/2019 19:17,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (78).jpg,Faraday Hall,Office Hours - CSCI 340
2/4/2019 19:22,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (79).jpg,Faraday Hall,Office Hours - CSCI 340
2/4/2019 19:27,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (80).jpg,Faraday Hall,Office Hours - CSCI 340
2/4/2019 19:34,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (81).jpg,Faraday Hall,Office Hours - CSCI 340
2/4/2019 19:39,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (82).jpg,Faraday Hall,Office Hours - CSCI 340
2/4/2019 19:42,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (83).jpg,Faraday Hall,Office Hours - CSCI 340
2/4/2019 19:54,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (84).jpg,Faraday Hall,Office Hours - CSCI 340
2/4/2019 19:59,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (85).jpg,Faraday Hall,Office Hours - CSCI 340
2/4/2019 20:03,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (86).jpg,Faraday Hall,Office Hours - CSCI 340
2/4/2019 20:24,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (87).jpg,Faraday Hall,Office Hours - CSCI 340
2/4/2019 20:30,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (88).jpg,Faraday Hall,Office Hours - CSCI 340
2/4/2019 20:34,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (89).jpg,Faraday Hall,Office Hours - CSCI 340
2/4/2019 20:38,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (90).jpg,Faraday Hall,Office Hours - CSCI 340
2/4/2019 20:40,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (91).jpg,outside,travel - walking
2/4/2019 20:43,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (92).jpg,outside,travel - walking
2/4/2019 20:45,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (93).jpg,outside,travel - walking
2/4/2019 20:48,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (94).jpg,outside,travel - walking
2/4/2019 20:51,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (95).jpg,outside,travel - walking
2/4/2019 20:53,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (96).jpg,outside,travel - walking
2/4/2019 20:57,monday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (97).jpg,outside,travel - walking
2/5/2019 11:07,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (98).jpg,outside,travel - biking
2/5/2019 11:12,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (99).jpg,outside,travel - biking
2/5/2019 11:15,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (100).jpg,outside,travel - biking
2/5/2019 11:18,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (101).jpg,outside,travel - biking
2/5/2019 11:23,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (102).jpg,Recreation and Wellness Center,workout
2/5/2019 11:26,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (103).jpg,Recreation and Wellness Center,workout
2/5/2019 11:29,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (104).jpg,Recreation and Wellness Center,workout
2/5/2019 11:32,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (105).jpg,Recreation and Wellness Center,workout
2/5/2019 11:35,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (106).jpg,Recreation and Wellness Center,workout
2/5/2019 11:37,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (107).jpg,Recreation and Wellness Center,workout
2/5/2019 11:39,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (108).jpg,Recreation and Wellness Center,workout
2/5/2019 11:42,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (109).jpg,Recreation and Wellness Center,workout
2/5/2019 11:46,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (110).jpg,Recreation and Wellness Center,workout
2/5/2019 11:51,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (111).jpg,Recreation and Wellness Center,workout
2/5/2019 11:53,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (112).jpg,Recreation and Wellness Center,workout
2/5/2019 11:57,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (113).jpg,Recreation and Wellness Center,workout
2/5/2019 12:00,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (114).jpg,Recreation and Wellness Center,workout
2/5/2019 12:03,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (115).jpg,Recreation and Wellness Center,workout
2/5/2019 12:06,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (116).jpg,Recreation and Wellness Center,workout
2/5/2019 12:10,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (117).jpg,Recreation and Wellness Center,workout
2/5/2019 12:16,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (118).jpg,outside,travel - biking
2/5/2019 12:20,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (119).jpg,outside,travel - biking
2/5/2019 12:24,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (120).jpg,CSCI Building,Attending CSCI 515
2/5/2019 12:28,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (121).jpg,CSCI Building,Attending CSCI 515
2/5/2019 12:32,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (122).jpg,CSCI Building,Attending CSCI 515
2/5/2019 12:35,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (123).jpg,CSCI Building,Attending CSCI 515
2/5/2019 12:38,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (124).jpg,CSCI Building,Attending CSCI 515
2/5/2019 12:42,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (125).jpg,CSCI Building,Attending CSCI 515
2/5/2019 12:45,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (126).jpg,CSCI Building,Attending CSCI 515
2/5/2019 12:50,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (127).jpg,CSCI Building,Attending CSCI 515
2/5/2019 12:55,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (128).jpg,CSCI Building,Attending CSCI 515
2/5/2019 13:01,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (129).jpg,CSCI Building,Attending CSCI 515
2/5/2019 13:05,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (130).jpg,CSCI Building,Attending CSCI 515
2/5/2019 13:10,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (131).jpg,CSCI Building,Attending CSCI 515
2/5/2019 13:12,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (132).jpg,CSCI Building,Attending CSCI 515
2/5/2019 13:16,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (133).jpg,CSCI Building,Attending CSCI 515
2/5/2019 13:21,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (134).jpg,CSCI Building,Attending CSCI 515
2/5/2019 13:27,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (135).jpg,CSCI Building,Attending CSCI 515
2/5/2019 13:31,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (136).jpg,CSCI Building,Attending CSCI 515
2/5/2019 13:36,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (137).jpg,CSCI Building,Attending CSCI 515
2/5/2019 13:39,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (138).jpg,CSCI Building,Attending CSCI 515
2/5/2019 13:43,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (139).jpg,CSCI Building,Attending CSCI 515
2/5/2019 13:45,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (140).jpg,CSCI Building,Attending CSCI 515
2/5/2019 13:50,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (141).jpg,CSCI Building,Attending CSCI 515
2/5/2019 13:58,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (142).jpg,CSCI Building,Attending CSCI 515
2/5/2019 14:04,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (143).jpg,outside,travel - biking
2/5/2019 14:06,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (144).jpg,Faraday Hall,Office Hours - CSCI 340
2/5/2019 14:22,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (145).jpg,Faraday Hall,Office Hours - CSCI 340
2/5/2019 14:28,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (146).jpg,Faraday Hall,Office Hours - CSCI 340
2/5/2019 14:36,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (147).jpg,Faraday Hall,Office Hours - CSCI 340
2/5/2019 14:51,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (148).jpg,Faraday Hall,Office Hours - CSCI 340
2/5/2019 14:57,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (149).jpg,Faraday Hall,Office Hours - CSCI 340
2/5/2019 15:02,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (150).jpg,Faraday Hall,Office Hours - CSCI 340
2/5/2019 15:07,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (151).jpg,Faraday Hall,Office Hours - CSCI 340
2/5/2019 15:20,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (152).jpg,Faraday Hall,Office Hours - CSCI 340
2/5/2019 15:26,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (153).jpg,Faraday Hall,Office Hours - CSCI 340
2/5/2019 15:41,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (154).jpg,Faraday Hall,Office Hours - CSCI 340
2/5/2019 15:51,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (155).jpg,Faraday Hall,Office Hours - CSCI 340
2/5/2019 16:02,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (156).jpg,Faraday Hall,Office Hours - CSCI 340
2/5/2019 16:07,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (157).jpg,Faraday Hall,Office Hours - CSCI 340
2/5/2019 16:13,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (158).jpg,Faraday Hall,Office Hours - CSCI 340
2/5/2019 16:15,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (159).jpg,Faraday Hall,Office Hours - CSCI 340
2/5/2019 16:18,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (160).jpg,outside,travel - biking
2/5/2019 16:21,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (161).jpg,outside,travel - biking
2/5/2019 16:25,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (162).jpg,outside,travel - biking
2/5/2019 16:28,tuesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (163).jpg,outside,travel - biking
2/6/2019 14:31,wednesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (164).jpg,outside,travel - biking
2/6/2019 14:33,wednesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (165).jpg,outside,travel - biking
2/6/2019 14:38,wednesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (166).jpg,outside,travel - biking
2/6/2019 14:41,wednesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (167).jpg,outside,travel - biking
2/6/2019 14:44,wednesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (168).jpg,Founders Memorial Library,study
2/6/2019 14:46,wednesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (169).jpg,Founders Memorial Library,study
2/6/2019 14:52,wednesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (170).jpg,Founders Memorial Library,study
2/6/2019 14:57,wednesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (171).jpg,Founders Memorial Library,study
2/6/2019 15:02,wednesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (172).jpg,Founders Memorial Library,study
2/6/2019 15:04,wednesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (173).jpg,Founders Memorial Library,study
2/6/2019 15:10,wednesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (174).jpg,Founders Memorial Library,study
2/6/2019 15:14,wednesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (175).jpg,Founders Memorial Library,study
2/6/2019 15:21,wednesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (176).jpg,Founders Memorial Library,study
2/6/2019 15:25,wednesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (177).jpg,Founders Memorial Library,study
2/6/2019 15:29,wednesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (178).jpg,Founders Memorial Library,study
2/6/2019 15:33,wednesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (179).jpg,Founders Memorial Library,study
2/6/2019 15:37,wednesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (180).jpg,Founders Memorial Library,study
2/6/2019 15:41,wednesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (181).jpg,Founders Memorial Library,study
2/6/2019 15:46,wednesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (182).jpg,Founders Memorial Library,study
2/6/2019 15:50,wednesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (183).jpg,Founders Memorial Library,study
2/6/2019 15:54,wednesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (184).jpg,Founders Memorial Library,study
2/6/2019 15:59,wednesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (185).jpg,Founders Memorial Library,study
2/6/2019 16:15,wednesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (186).jpg,Founders Memorial Library,study
2/6/2019 16:19,wednesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (187).jpg,Founders Memorial Library,study
2/6/2019 16:24,wednesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (188).jpg,Founders Memorial Library,study
2/6/2019 16:29,wednesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (189).jpg,Founders Memorial Library,study
2/6/2019 16:31,wednesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (190).jpg,Founders Memorial Library,study
2/6/2019 16:34,wednesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (191).jpg,Founders Memorial Library,study
2/6/2019 16:40,wednesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (192).jpg,Founders Memorial Library,study
2/6/2019 16:42,wednesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (193).jpg,Founders Memorial Library,study
2/6/2019 16:48,wednesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (194).jpg,Founders Memorial Library,study
2/6/2019 16:50,wednesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (195).jpg,Founders Memorial Library,study
2/6/2019 16:53,wednesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (196).jpg,Founders Memorial Library,study
2/6/2019 16:57,wednesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (197).jpg,CSCI Building,Attending CSCI 627
2/6/2019 16:59,wednesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (198).jpg,CSCI Building,Attending CSCI 627
2/6/2019 17:01,wednesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (199).jpg,CSCI Building,Attending CSCI 627
2/6/2019 17:05,wednesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (200).jpg,CSCI Building,Attending CSCI 627
2/6/2019 17:09,wednesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (201).jpg,CSCI Building,Attending CSCI 627
2/6/2019 17:12,wednesday,C:\Users\colefreeman\Documents\NIU\Data visualization\husk\week\img (202).jpg,CSCI Building,Attending CSCI 627
